Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","408","Democratic People's Republic of Korea","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","7.61","E","Estimated value",""
"RFN","Fertilizers by Nutrient","408","Democratic People's Republic of Korea","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","4.69","E","Estimated value",""
"RFN","Fertilizers by Nutrient","408","Democratic People's Republic of Korea","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","4.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","180","Democratic Republic of the Congo","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","1.51","E","Estimated value",""
"RFN","Fertilizers by Nutrient","180","Democratic Republic of the Congo","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","180","Democratic Republic of the Congo","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","0.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","208","Denmark","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","84.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","208","Denmark","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","14.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","208","Denmark","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","31.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","262","Djibouti","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","8.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","262","Djibouti","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","3.69","E","Estimated value",""
"RFN","Fertilizers by Nutrient","262","Djibouti","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","1.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","212","Dominica","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","3.23","E","Estimated value",""
"RFN","Fertilizers by Nutrient","212","Dominica","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","8.36","E","Estimated value",""
"RFN","Fertilizers by Nutrient","212","Dominica","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","7.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","214","Dominican Republic","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","85.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","214","Dominican Republic","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","12.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","214","Dominican Republic","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","17.83","E","Estimated value",""
